numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-04T01:57:31.188     437.00714251     437.00713908    437.00714594
2020-03-04T01:58:31.188     437.00632227     437.00631743    437.00632711
2020-03-04T01:59:31.188     437.00518144     437.00517481    437.00518805
2020-03-04T02:00:31.188     437.00366109     437.00365251    437.00366966
2020-03-04T02:01:31.188     437.00177613     437.00176597    437.00178627
2020-03-04T02:02:31.188     436.99967314     436.99966248    436.99968379
2020-03-04T02:03:31.188     436.99760633     436.99759653    436.99761614
2020-03-04T02:04:31.188     436.99580957     436.99580150    436.99581764
2020-03-04T02:05:31.188     436.99439011     436.99438397    436.99439625
2020-03-04T02:06:31.188     436.99333580     436.99333134    436.99334027
2020-03-04T02:07:31.188     436.99257937     436.99257621    436.99258254
2020-03-04T02:08:31.188     436.99204724     436.99204504    436.99204945
2020-03-04T02:09:31.188     436.99167902     436.99167751    436.99168053
2020-03-04T02:10:31.188     436.99143031     436.99142931    436.99143131
2020-03-04T02:11:31.188     436.99126989     436.99126927    436.99127051
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T03:32:04.669     437.01014359     437.01014358    437.01014359
2020-03-04T03:33:04.669     437.01011955     437.01011927    437.01011982
2020-03-04T03:34:04.669     437.01001993     437.01001915    437.01002071
2020-03-04T03:35:04.669     437.00977228     437.00977043    437.00977412
2020-03-04T03:36:04.669     437.00917690     437.00917232    437.00918145
2020-03-04T03:37:04.669     437.00759121     437.00757833    437.00760402
2020-03-04T03:38:04.669     437.00315607     437.00312309    437.00318895
2020-03-04T03:39:04.669     436.99604389     436.99601370    436.99607420
2020-03-04T03:40:04.669     436.99210044     436.99208924    436.99211170
2020-03-04T03:41:04.669     436.99070590     436.99070185    436.99070998
2020-03-04T03:42:04.669     436.99017168     436.99017001    436.99017336
2020-03-04T03:43:04.669     436.98994644     436.98994573    436.98994715
2020-03-04T03:44:04.669     436.98985613     436.98985589    436.98985638
2020-03-04T03:45:04.669     436.98983633     436.98983630    436.98983635
2020-03-04T03:46:04.669     436.98985938     436.98985919    436.98985958
2020-03-04T03:47:04.669     436.98991197     436.98991165    436.98991230
2020-03-04T03:48:04.669     436.98998704     436.98998662    436.98998747
2020-03-04T03:49:04.669     436.99008055     436.99008004    436.99008106
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T05:08:51.876     437.00715069     437.00714667    437.00715471
2020-03-04T05:09:51.876     437.00619336     437.00618773    437.00619897
2020-03-04T05:10:51.876     437.00487876     437.00487119    437.00488632
2020-03-04T05:11:51.876     437.00316421     437.00315468    437.00317374
2020-03-04T05:12:51.876     437.00110914     437.00109829    437.00111998
2020-03-04T05:13:51.876     436.99891657     436.99890573    436.99892741
2020-03-04T05:14:51.876     436.99686280     436.99685328    436.99687233
2020-03-04T05:15:51.876     436.99515095     436.99514341    436.99515851
2020-03-04T05:16:51.876     436.99384038     436.99383479    436.99384598
2020-03-04T05:17:51.876     436.99288818     436.99288419    436.99289218
2020-03-04T05:18:51.876     436.99221678     436.99221399    436.99221956
2020-03-04T05:19:51.876     436.99175300     436.99175110    436.99175491
2020-03-04T05:20:51.876     436.99144013     436.99143887    436.99144139
2020-03-04T05:21:51.876     436.99123748     436.99123669    436.99123827
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T12:50:47.716     437.00698396     437.00697984    437.00698808
2020-03-04T12:51:47.716     437.00600676     437.00600104    437.00601247
2020-03-04T12:52:47.716     437.00467538     437.00466775    437.00468301
2020-03-04T12:53:47.716     437.00295701     437.00294751    437.00296651
2020-03-04T12:54:47.716     437.00092103     437.00091034    437.00093171
2020-03-04T12:55:47.716     436.99877013     436.99875953    436.99878072
2020-03-04T12:56:47.716     436.99676610     436.99675682    436.99677539
2020-03-04T12:57:47.716     436.99509549     436.99508811    436.99510287
2020-03-04T12:58:47.716     436.99381068     436.99380518    436.99381619
2020-03-04T12:59:47.716     436.99287045     436.99286649    436.99287441
2020-03-04T13:00:47.716     436.99220163     436.99219885    436.99220442
2020-03-04T13:01:47.716     436.99173489     436.99173297    436.99173682
2020-03-04T13:02:47.716     436.99141601     436.99141471    436.99141731
2020-03-04T13:03:47.716     436.99120578     436.99120495    436.99120661
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T14:23:43.080     437.01016357     437.01016354    437.01016361
2020-03-04T14:24:43.080     437.01012864     437.01012830    437.01012897
2020-03-04T14:25:43.080     437.01001146     437.01001056    437.01001235
2020-03-04T14:26:43.080     437.00973068     437.00972859    437.00973276
2020-03-04T14:27:43.080     437.00905910     437.00905393    437.00906425
2020-03-04T14:28:43.080     437.00726475     437.00725020    437.00727921
2020-03-04T14:29:43.080     437.00240862     437.00237400    437.00244316
2020-03-04T14:30:43.080     436.99546781     436.99544020    436.99549554
2020-03-04T14:31:43.080     436.99191485     436.99190479    436.99192497
2020-03-04T14:32:43.080     436.99065141     436.99064769    436.99065514
2020-03-04T14:33:43.080     436.99015967     436.99015813    436.99016122
2020-03-04T14:34:43.080     436.98995219     436.98995154    436.98995284
2020-03-04T14:35:43.080     436.98987152     436.98987131    436.98987172
2020-03-04T14:36:43.080     436.98985813     436.98985808    436.98985818
2020-03-04T14:37:43.080     436.98988605     436.98988583    436.98988626
2020-03-04T14:38:43.080     436.98994259     436.98994225    436.98994293
2020-03-04T14:39:43.080     436.99002097     436.99002053    436.99002141
2020-03-04T14:40:43.080     436.99011726     436.99011674    436.99011778
Access Number: 5            Sta # 0 Nom         Lower           Upper       
2020-03-04T16:01:27.380     437.00721904     437.00721538    437.00722269
2020-03-04T16:02:27.380     437.00634546     437.00634030    437.00635061
2020-03-04T16:03:27.380     437.00513146     437.00512442    437.00513850
2020-03-04T16:04:27.380     437.00351859     437.00350952    437.00352766
2020-03-04T16:05:27.380     437.00153694     437.00152634    437.00154753
