numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-04T00:57:34.697     437.00825193     437.00824868    437.00825517
2020-03-04T00:58:34.697     437.00743361     437.00742854    437.00743867
2020-03-04T00:59:34.697     437.00617056     437.00616283    437.00617826
2020-03-04T01:00:34.697     437.00430009     437.00428903    437.00431113
2020-03-04T01:01:34.697     437.00178351     437.00176964    437.00179738
2020-03-04T01:02:34.697     436.99891764     436.99890337    436.99893191
2020-03-04T01:03:34.697     436.99626594     436.99625404    436.99627785
2020-03-04T01:04:34.697     436.99422042     436.99421188    436.99422897
2020-03-04T01:05:34.697     436.99281123     436.99280556    436.99281692
2020-03-04T01:06:34.697     436.99188901     436.99188534    436.99189269
2020-03-04T01:07:34.697     436.99129676     436.99129442    436.99129911
2020-03-04T01:08:34.697     436.99092131     436.99091984    436.99092278
2020-03-04T01:09:34.697     436.99069000     436.99068912    436.99069088
2020-03-04T01:10:34.697     436.99055752     436.99055705    436.99055799
2020-03-04T01:11:34.697     436.99049546     436.99049530    436.99049563
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T02:29:39.583     437.01027036     437.01027020    437.01027051
2020-03-04T02:30:39.583     437.01020180     437.01020123    437.01020237
2020-03-04T02:31:39.583     437.01001593     437.01001453    437.01001732
2020-03-04T02:32:39.583     437.00956904     437.00956564    437.00957243
2020-03-04T02:33:39.583     437.00840888     437.00839951    437.00841819
2020-03-04T02:34:39.583     437.00503117     437.00500403    437.00505819
2020-03-04T02:35:39.583     436.99788145     436.99784449    436.99791849
2020-03-04T02:36:39.583     436.99268222     436.99266697    436.99269755
2020-03-04T02:37:39.583     436.99082280     436.99081759    436.99082804
2020-03-04T02:38:39.583     436.99015191     436.99014987    436.99015396
2020-03-04T02:39:39.583     436.98988052     436.98987968    436.98988137
2020-03-04T02:40:39.583     436.98977300     436.98977271    436.98977329
2020-03-04T02:41:39.583     436.98974699     436.98974699    436.98974700
2020-03-04T02:42:39.583     436.98976872     436.98976852    436.98976892
2020-03-04T02:43:39.583     436.98982242     436.98982209    436.98982275
2020-03-04T02:44:39.583     436.98989995     436.98989952    436.98990039
2020-03-04T02:45:39.583     436.98999675     436.98999622    436.98999728
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T04:07:26.060     437.00399303     437.00398589    437.00400016
2020-03-04T04:08:26.060     437.00243084     437.00242242    437.00243926
2020-03-04T04:09:26.060     437.00066199     437.00065285    437.00067112
2020-03-04T04:10:26.060     436.99883454     436.99882556    436.99884353
2020-03-04T04:11:26.060     436.99712139     436.99711336    436.99712943
2020-03-04T04:12:26.060     436.99565006     436.99564342    436.99565670
2020-03-04T04:13:26.060     436.99446948     436.99446430    436.99447466
2020-03-04T04:14:26.060     436.99356577     436.99356188    436.99356967
2020-03-04T04:15:26.060     436.99289534     436.99289249    436.99289819
2020-03-04T04:16:26.060     436.99240937     436.99240733    436.99241141
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T13:57:37.557     437.00822542     437.00822246    437.00822838
2020-03-04T13:58:37.557     437.00747519     437.00747052    437.00747984
2020-03-04T13:59:37.557     437.00630383     437.00629662    437.00631103
2020-03-04T14:00:37.557     437.00453900     437.00452846    437.00454953
2020-03-04T14:01:37.557     437.00210485     437.00209124    437.00211845
2020-03-04T14:02:37.557     436.99925193     436.99923753    436.99926633
2020-03-04T14:03:37.557     436.99654980     436.99653758    436.99656204
2020-03-04T14:04:37.557     436.99444153     436.99443271    436.99445036
2020-03-04T14:05:37.557     436.99298733     436.99298148    436.99299319
2020-03-04T14:06:37.557     436.99203866     436.99203489    436.99204243
2020-03-04T14:07:37.557     436.99143126     436.99142886    436.99143367
2020-03-04T14:08:37.557     436.99104626     436.99104475    436.99104777
2020-03-04T14:09:37.557     436.99080780     436.99080689    436.99080872
2020-03-04T14:10:37.557     436.99066900     436.99066850    436.99066950
2020-03-04T14:11:37.557     436.99060071     436.99060051    436.99060091
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T15:30:37.057     437.01025450     437.01025422    437.01025478
2020-03-04T15:31:37.057     437.01015364     437.01015286    437.01015442
2020-03-04T15:32:37.057     437.00990791     437.00990610    437.00990971
2020-03-04T15:33:37.057     437.00934146     437.00933721    437.00934569
2020-03-04T15:34:37.057     437.00793430     437.00792326    437.00794529
2020-03-04T15:35:37.057     437.00423539     437.00420768    437.00426300
2020-03-04T15:36:37.057     436.99756250     436.99752968    436.99759539
2020-03-04T15:37:37.057     436.99282237     436.99280762    436.99283720
2020-03-04T15:38:37.057     436.99094426     436.99093871    436.99094984
2020-03-04T15:39:37.057     436.99020994     436.99020763    436.99021225
2020-03-04T15:40:37.057     436.98989526     436.98989425    436.98989628
2020-03-04T15:41:37.057     436.98976082     436.98976042    436.98976122
2020-03-04T15:42:37.057     436.98971799     436.98971793    436.98971805
2020-03-04T15:43:37.057     436.98972916     436.98972900    436.98972931
2020-03-04T15:44:37.057     436.98977638     436.98977607    436.98977669
2020-03-04T15:45:37.057     436.98985026     436.98984984    436.98985069
2020-03-04T15:46:37.057     436.98994548     436.98994496    436.98994601
Access Number: 5            Sta # 0 Nom         Lower           Upper       
2020-03-04T17:06:21.242     437.00468857     437.00468135    437.00469578
2020-03-04T17:07:21.242     437.00307889     437.00307005    437.00308773
2020-03-04T17:08:21.242     437.00118858     437.00117865    437.00119851
2020-03-04T17:09:21.242     436.99917545     436.99916543    436.99918546
2020-03-04T17:10:21.242     436.99725260     436.99724354    436.99726167
2020-03-04T17:11:21.242     436.99559246     436.99558498    436.99559994
