numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T17:42:47.855     437.00959822     437.00959743    437.00959900
2020-03-03T17:43:47.855     437.00937756     437.00937608    437.00937904
2020-03-03T17:44:47.855     437.00897230     437.00896960    437.00897499
2020-03-03T17:45:47.855     437.00822809     437.00822309    437.00823308
2020-03-03T17:46:47.855     437.00683406     437.00682465    437.00684344
2020-03-03T17:47:47.855     437.00427978     437.00426329    437.00429623
2020-03-03T17:48:47.855     437.00035995     437.00033836    437.00038153
2020-03-03T17:49:47.855     436.99629450     436.99627686    436.99631218
2020-03-03T17:50:47.855     436.99351180     436.99350146    436.99352217
2020-03-03T17:51:47.855     436.99197533     436.99196985    436.99198083
2020-03-03T17:52:47.855     436.99116108     436.99115816    436.99116402
2020-03-03T17:53:47.855     436.99072330     436.99072172    436.99072489
2020-03-03T17:54:47.855     436.99048821     436.99048738    436.99048905
2020-03-03T17:55:47.855     436.99037032     436.99036994    436.99037070
2020-03-03T17:56:47.855     436.99032570     436.99032562    436.99032579
2020-03-03T17:57:47.855     436.99033047     436.99033035    436.99033060
2020-03-03T17:58:47.855     436.99037088     436.99037061    436.99037116
2020-03-03T17:59:47.855     436.99043861     436.99043821    436.99043901
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T03:54:09.851     437.00152036     437.00151353    437.00152718
2020-03-04T03:55:09.851     437.00012014     437.00011303    437.00012725
2020-03-04T03:56:09.851     436.99870732     436.99870037    436.99871426
2020-03-04T03:57:09.851     436.99736990     436.99736353    436.99737628
2020-03-04T03:58:09.851     436.99617535     436.99616981    436.99618090
2020-03-04T03:59:09.851     436.99515863     436.99515401    436.99516325
2020-03-04T04:00:09.851     436.99432485     436.99432112    436.99432858
2020-03-04T04:01:09.851     436.99365984     436.99365690    436.99366278
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T05:25:47.271     437.00967458     437.00967406    437.00967509
2020-03-04T05:26:47.271     437.00952031     437.00951923    437.00952138
2020-03-04T05:27:47.271     437.00921627     437.00921421    437.00921834
2020-03-04T05:28:47.271     437.00863465     437.00863067    437.00863861
2020-03-04T05:29:47.271     437.00749948     437.00749162    437.00750730
2020-03-04T05:30:47.271     437.00526767     437.00525257    437.00528273
2020-03-04T05:31:47.271     437.00140537     437.00138260    437.00142812
2020-03-04T05:32:47.271     436.99688412     436.99686375    436.99690454
2020-03-04T05:33:47.271     436.99366433     436.99365250    436.99367621
2020-03-04T05:34:47.271     436.99193692     436.99193090    436.99194297
2020-03-04T05:35:47.271     436.99105780     436.99105470    436.99106091
2020-03-04T05:36:47.271     436.99059856     436.99059692    436.99060021
2020-03-04T05:37:47.271     436.99035529     436.99035443    436.99035615
2020-03-04T05:38:47.271     436.99023281     436.99023241    436.99023321
2020-03-04T05:39:47.271     436.99018421     436.99018410    436.99018432
2020-03-04T05:40:47.271     436.99018479     436.99018470    436.99018490
2020-03-04T05:41:47.271     436.99022072     436.99022047    436.99022097
2020-03-04T05:42:47.271     436.99028377     436.99028340    436.99028415
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T07:01:47.333     437.00918140     437.00917992    437.00918287
2020-03-04T07:02:47.333     437.00879393     437.00879145    437.00879641
2020-03-04T07:03:47.333     437.00814781     437.00814369    437.00815193
2020-03-04T07:04:47.333     437.00707322     437.00706637    437.00708005
2020-03-04T07:05:47.333     437.00531714     437.00530620    437.00532807
2020-03-04T07:06:47.333     437.00266669     437.00265128    437.00268209
2020-03-04T07:07:47.333     436.99935575     436.99933885    436.99937267
2020-03-04T07:08:47.333     436.99622323     436.99620941    436.99623706
2020-03-04T07:09:47.333     436.99392407     436.99391487    436.99393330
2020-03-04T07:10:47.333     436.99246375     436.99245812    436.99246939
2020-03-04T07:11:47.333     436.99158147     436.99157810    436.99158485
2020-03-04T07:12:47.333     436.99105298     436.99105096    436.99105500
2020-03-04T07:13:47.333     436.99073889     436.99073771    436.99074008
2020-03-04T07:14:47.333     436.99055917     436.99055852    436.99055982
2020-03-04T07:15:47.333     436.99046788     436.99046760    436.99046817
2020-03-04T07:16:47.333     436.99043797     436.99043794    436.99043800
2020-03-04T07:17:47.333     436.99045292     436.99045275    436.99045309
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T14:48:14.021     437.00333548     437.00332864    437.00334232
2020-03-04T14:49:14.021     437.00187080     437.00186306    437.00187855
2020-03-04T14:50:14.021     437.00027032     437.00026216    437.00027848
2020-03-04T14:51:14.021     436.99864705     436.99863909    436.99865502
2020-03-04T14:52:14.021     436.99712130     436.99711409    436.99712852
2020-03-04T14:53:14.021     436.99578236     436.99577622    436.99578850
2020-03-04T14:54:14.021     436.99467058     436.99466560    436.99467556
2020-03-04T14:55:14.021     436.99378450     436.99378060    436.99378841
2020-03-04T14:56:14.021     436.99309879     436.99309581    436.99310178
2020-03-04T14:57:14.021     436.99258005     436.99257782    436.99258228
Access Number: 5            Sta # 0 Nom         Lower           Upper       
2020-03-04T16:18:45.090     437.00963587     437.00963506    437.00963669
2020-03-04T16:19:45.090     437.00940630     437.00940475    437.00940784
2020-03-04T16:20:45.090     437.00898282     437.00897999    437.00898563
2020-03-04T16:21:45.090     437.00820543     437.00820022    437.00821064
2020-03-04T16:22:45.090     437.00675823     437.00674851    437.00676793
2020-03-04T16:23:45.090     437.00414508     437.00412837    437.00416175
2020-03-04T16:24:45.090     437.00021889     437.00019747    437.00024030
2020-03-04T16:25:45.090     436.99620306     436.99618565    436.99622052
2020-03-04T16:26:45.090     436.99344474     436.99343442    436.99345508
2020-03-04T16:27:45.090     436.99190158     436.99189603    436.99190715
2020-03-04T16:28:45.090     436.99107229     436.99106929    436.99107530
2020-03-04T16:29:45.090     436.99062037     436.99061873    436.99062202
2020-03-04T16:30:45.090     436.99037385     436.99037297    436.99037474
2020-03-04T16:31:45.090     436.99024706     436.99024664    436.99024748
2020-03-04T16:32:45.090     436.99019558     436.99019546    436.99019569
2020-03-04T16:33:45.090     436.99019510     436.99019500    436.99019520
2020-03-04T16:34:45.090     436.99023158     436.99023132    436.99023183
2020-03-04T16:35:45.090     436.99029647     436.99029609    436.99029686
