numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-04T00:12:09.057     437.00561484     437.00560846    437.00562122
2020-03-04T00:13:09.057     437.00414902     437.00414072    437.00415730
2020-03-04T00:14:09.057     437.00231410     437.00230413    437.00232406
2020-03-04T00:15:09.057     437.00022274     437.00021199    437.00023348
2020-03-04T00:16:09.057     436.99810204     436.99809180    436.99811229
2020-03-04T00:17:09.057     436.99619362     436.99618490    436.99620234
2020-03-04T00:18:09.057     436.99463908     436.99463227    436.99464590
2020-03-04T00:19:09.057     436.99345760     436.99345255    436.99346265
2020-03-04T00:20:09.057     436.99259683     436.99259321    436.99260045
2020-03-04T00:21:09.057     436.99198556     436.99198302    436.99198811
2020-03-04T00:22:09.057     436.99156023     436.99155849    436.99156198
2020-03-04T00:23:09.057     436.99127199     436.99127083    436.99127316
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T01:42:23.708     437.01035485     437.01035471    437.01035499
2020-03-04T01:43:23.708     437.01028891     437.01028835    437.01028947
2020-03-04T01:44:23.708     437.01010196     437.01010053    437.01010337
2020-03-04T01:45:23.708     437.00963817     437.00963459    437.00964174
2020-03-04T01:46:23.708     437.00838472     437.00837440    437.00839498
2020-03-04T01:47:23.708     437.00457548     437.00454473    437.00460610
2020-03-04T01:48:23.708     436.99693199     436.99689569    436.99696842
2020-03-04T01:49:23.708     436.99214300     436.99212974    436.99215634
2020-03-04T01:50:23.708     436.99054419     436.99053974    436.99054867
2020-03-04T01:51:23.708     436.98997250     436.98997077    436.98997423
2020-03-04T01:52:23.708     436.98974398     436.98974329    436.98974468
2020-03-04T01:53:23.708     436.98965838     436.98965817    436.98965859
2020-03-04T01:54:23.708     436.98964538     436.98964532    436.98964544
2020-03-04T01:55:23.708     436.98967590     436.98967566    436.98967613
2020-03-04T01:56:23.708     436.98973623     436.98973586    436.98973659
2020-03-04T01:57:23.708     436.98981924     436.98981878    436.98981971
2020-03-04T01:58:23.708     436.98992091     436.98992036    436.98992146
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T03:17:41.371     437.00765030     437.00764634    437.00765426
2020-03-04T03:18:41.371     437.00667274     437.00666681    437.00667866
2020-03-04T03:19:41.371     437.00523368     437.00522511    437.00524223
2020-03-04T03:20:41.371     437.00323392     437.00322253    437.00324531
2020-03-04T03:21:41.371     437.00075030     437.00073716    437.00076343
2020-03-04T03:22:41.371     436.99813822     436.99812564    436.99815080
2020-03-04T03:23:41.371     436.99584735     436.99583722    436.99585749
2020-03-04T03:24:41.371     436.99411033     436.99410307    436.99411761
2020-03-04T03:25:41.371     436.99290356     436.99289865    436.99290848
2020-03-04T03:26:41.371     436.99209938     436.99209615    436.99210262
2020-03-04T03:27:41.371     436.99157389     436.99157180    436.99157599
2020-03-04T03:28:41.371     436.99123687     436.99123554    436.99123819
2020-03-04T03:29:41.371     436.99102864     436.99102785    436.99102943
2020-03-04T03:30:41.371     436.99091078     436.99091037    436.99091119
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T13:11:13.316     437.00528623     437.00528019    437.00529226
2020-03-04T13:12:13.316     437.00391097     437.00390324    437.00391868
2020-03-04T13:13:13.316     437.00221172     437.00220253    437.00222091
2020-03-04T13:14:13.316     437.00028609     437.00027619    437.00029599
2020-03-04T13:15:13.316     436.99832452     436.99831499    436.99833406
2020-03-04T13:16:13.316     436.99653367     436.99652541    436.99654194
2020-03-04T13:17:13.316     436.99504463     436.99503803    436.99505124
2020-03-04T13:18:13.316     436.99388721     436.99388221    436.99389222
2020-03-04T13:19:13.316     436.99302516     436.99302149    436.99302883
2020-03-04T13:20:13.316     436.99239962     436.99239699    436.99240226
2020-03-04T13:21:13.316     436.99195431     436.99195245    436.99195617
2020-03-04T13:22:13.316     436.99164404     436.99164277    436.99164531
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T14:42:54.248     437.01034161     437.01034158    437.01034164
2020-03-04T14:43:54.248     437.01030541     437.01030505    437.01030578
2020-03-04T14:44:54.248     437.01017351     437.01017246    437.01017454
2020-03-04T14:45:54.248     437.00982679     437.00982408    437.00982949
2020-03-04T14:46:54.248     437.00886462     437.00885658    437.00887261
2020-03-04T14:47:54.248     437.00570607     437.00567870    437.00573328
2020-03-04T14:48:54.248     436.99781621     436.99777419    436.99785834
2020-03-04T14:49:54.248     436.99224376     436.99222892    436.99225869
2020-03-04T14:50:54.248     436.99052299     436.99051844    436.99052757
2020-03-04T14:51:54.248     436.98995196     436.98995029    436.98995365
2020-03-04T14:52:54.248     436.98973369     436.98973304    436.98973434
2020-03-04T14:53:54.248     436.98965526     436.98965508    436.98965545
2020-03-04T14:54:54.248     436.98964612     436.98964605    436.98964620
