numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-04T00:07:52.232     437.00537989     437.00537331    437.00538645
2020-03-04T00:08:52.232     437.00388108     437.00387266    437.00388949
2020-03-04T00:09:52.232     437.00203459     437.00202464    437.00204453
2020-03-04T00:10:52.232     436.99996530     436.99995475    436.99997585
2020-03-04T00:11:52.232     436.99789737     436.99788744    436.99790730
2020-03-04T00:12:52.232     436.99605382     436.99604542    436.99606222
2020-03-04T00:13:52.232     436.99455741     436.99455086    436.99456398
2020-03-04T00:14:52.232     436.99341909     436.99341422    436.99342396
2020-03-04T00:15:52.232     436.99258703     436.99258353    436.99259055
2020-03-04T00:16:52.232     436.99199380     436.99199133    436.99199628
2020-03-04T00:17:52.232     436.99157949     436.99157778    436.99158119
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T01:38:00.225     437.01032714     437.01032696    437.01032732
2020-03-04T01:39:00.225     437.01025048     437.01024985    437.01025111
2020-03-04T01:40:00.225     437.01004485     437.01004330    437.01004639
2020-03-04T01:41:00.225     437.00954621     437.00954239    437.00955001
2020-03-04T01:42:00.225     437.00823032     437.00821964    437.00824095
2020-03-04T01:43:00.225     437.00440717     437.00437709    437.00443714
2020-03-04T01:44:00.225     436.99705581     436.99702074    436.99709099
2020-03-04T01:45:00.225     436.99231208     436.99229848    436.99232575
2020-03-04T01:46:00.225     436.99064645     436.99064173    436.99065120
2020-03-04T01:47:00.225     436.99003432     436.99003244    436.99003620
2020-03-04T01:48:00.225     436.98978415     436.98978338    436.98978493
2020-03-04T01:49:00.225     436.98968618     436.98968593    436.98968644
2020-03-04T01:50:00.225     436.98966557     436.98966554    436.98966560
2020-03-04T01:51:00.225     436.98969108     436.98969086    436.98969129
2020-03-04T01:52:00.225     436.98974793     436.98974758    436.98974828
2020-03-04T01:53:00.225     436.98982842     436.98982797    436.98982888
2020-03-04T01:54:00.225     436.98992819     436.98992764    436.98992873
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T03:13:12.385     437.00782561     437.00782187    437.00782934
2020-03-04T03:14:12.385     437.00689902     437.00689336    437.00690467
2020-03-04T03:15:12.385     437.00551396     437.00550565    437.00552227
2020-03-04T03:16:12.385     437.00354886     437.00353753    437.00356017
2020-03-04T03:17:12.385     437.00104715     437.00103375    437.00106053
2020-03-04T03:18:12.385     436.99835679     436.99834373    436.99836986
2020-03-04T03:19:12.385     436.99596763     436.99595704    436.99597823
2020-03-04T03:20:12.385     436.99415395     436.99414639    436.99416153
2020-03-04T03:21:12.385     436.99290143     436.99289636    436.99290652
2020-03-04T03:22:12.385     436.99207378     436.99207048    436.99207710
2020-03-04T03:23:12.385     436.99153740     436.99153528    436.99153954
2020-03-04T03:24:12.385     436.99119586     436.99119452    436.99119720
2020-03-04T03:25:12.385     436.99098614     436.99098535    436.99098694
2020-03-04T03:26:12.385     436.99086816     436.99086775    436.99086857
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T13:07:12.701     437.00504439     437.00503818    437.00505060
2020-03-04T13:08:12.701     437.00363871     437.00363087    437.00364655
2020-03-04T13:09:12.701     437.00192931     437.00192014    437.00193847
2020-03-04T13:10:12.701     437.00002441     437.00001470    437.00003413
2020-03-04T13:11:12.701     436.99811231     436.99810308    436.99812155
2020-03-04T13:12:12.701     436.99638394     436.99637599    436.99639189
2020-03-04T13:13:12.701     436.99495314     436.99494680    436.99495948
2020-03-04T13:14:12.701     436.99384089     436.99383608    436.99384571
2020-03-04T13:15:12.701     436.99301023     436.99300669    436.99301377
2020-03-04T13:16:12.701     436.99240522     436.99240267    436.99240778
2020-03-04T13:17:12.701     436.99197292     436.99197112    436.99197473
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T14:38:49.296     437.01032209     437.01032204    437.01032213
2020-03-04T14:39:49.296     437.01028064     437.01028024    437.01028104
2020-03-04T14:40:49.296     437.01013968     437.01013858    437.01014078
2020-03-04T14:41:49.296     437.00977614     437.00977332    437.00977895
2020-03-04T14:42:49.296     437.00878274     437.00877451    437.00879093
2020-03-04T14:43:49.296     437.00561071     437.00558367    437.00563762
2020-03-04T14:44:49.296     436.99792357     436.99788255    436.99796469
2020-03-04T14:45:49.296     436.99237625     436.99236107    436.99239152
2020-03-04T14:46:49.296     436.99059707     436.99059230    436.99060187
2020-03-04T14:47:49.296     436.98999598     436.98999420    436.98999776
2020-03-04T14:48:49.296     436.98976287     436.98976216    436.98976357
2020-03-04T14:49:49.296     436.98967631     436.98967609    436.98967652
2020-03-04T14:50:49.296     436.98966224     436.98966219    436.98966230
2020-03-04T14:51:49.296     436.98969102     436.98969080    436.98969125
2020-03-04T14:52:49.296     436.98974900     436.98974865    436.98974935
2020-03-04T14:53:49.296     436.98982921     436.98982876    436.98982966
2020-03-04T14:54:49.296     436.98992774     436.98992721    436.98992827
Access Number: 5            Sta # 0 Nom         Lower           Upper       
2020-03-04T16:13:20.783     437.00791284     437.00790899    437.00791669
2020-03-04T16:14:20.783     437.00695729     437.00695146    437.00696311
2020-03-04T16:15:20.783     437.00553420     437.00552567    437.00554271
2020-03-04T16:16:20.783     437.00352674     437.00351520    437.00353826
2020-03-04T16:17:20.783     437.00098829     437.00097475    437.00100184
2020-03-04T16:18:20.783     436.99827288     436.99825972    436.99828605
2020-03-04T16:19:20.783     436.99586550     436.99585483    436.99587619
2020-03-04T16:20:20.783     436.99403453     436.99402688    436.99404219
2020-03-04T16:21:20.783     436.99276535     436.99276020    436.99277051
2020-03-04T16:22:20.783     436.99192339     436.99192002    436.99192678
2020-03-04T16:23:20.783     436.99137599     436.99137382    436.99137817
2020-03-04T16:24:20.783     436.99102673     436.99102536    436.99102810
2020-03-04T16:25:20.783     436.99081225     436.99081144    436.99081306
2020-03-04T16:26:20.783     436.99069204     436.99069163    436.99069246
