numStations=1
Station 0:rit
numEvents=4
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T19:03:01.416     437.00922983     437.00922818    437.00923148
2020-03-03T19:04:01.416     437.00879094     437.00878811    437.00879378
2020-03-03T19:05:01.416     437.00804211     437.00803728    437.00804694
2020-03-03T19:06:01.416     437.00677153     437.00676338    437.00677966
2020-03-03T19:07:01.416     437.00468319     437.00467025    437.00469611
2020-03-03T19:08:01.416     437.00162541     437.00160817    437.00164263
2020-03-03T19:09:01.416     436.99810199     436.99808495    436.99811905
2020-03-03T19:10:01.416     436.99509955     436.99508696    436.99511217
2020-03-03T19:11:01.416     436.99306724     436.99305934    436.99307517
2020-03-03T19:12:01.416     436.99182963     436.99182492    436.99183435
2020-03-03T19:13:01.416     436.99109497     436.99109218    436.99109777
2020-03-03T19:14:01.416     436.99065957     436.99065792    436.99066123
2020-03-03T19:15:01.416     436.99040541     436.99040447    436.99040636
2020-03-03T19:16:01.416     436.99026634     436.99026587    436.99026682
2020-03-03T19:17:01.416     436.99020462     436.99020447    436.99020478
2020-03-03T19:18:01.416     436.99019795     436.99019788    436.99019803
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T02:43:18.350     437.00380665     437.00380059    437.00381271
2020-03-04T02:44:18.350     437.00249511     437.00248809    437.00250212
2020-03-04T02:45:18.350     437.00102174     437.00101410    437.00102939
2020-03-04T02:46:18.350     436.99947254     436.99946479    436.99948030
2020-03-04T02:47:18.350     436.99795593     436.99794860    436.99796325
2020-03-04T02:48:18.350     436.99656981     436.99656333    436.99657630
2020-03-04T02:49:18.350     436.99537564     436.99537020    436.99538108
2020-03-04T02:50:18.350     436.99439320     436.99438881    436.99439759
2020-03-04T02:51:18.350     436.99361187     436.99360843    436.99361531
2020-03-04T02:52:18.350     436.99300577     436.99300313    436.99300841
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T04:12:41.973     437.00940101     437.00940025    437.00940178
2020-03-04T04:13:41.973     437.00918930     437.00918789    437.00919070
2020-03-04T04:14:41.973     437.00881152     437.00880904    437.00881398
2020-03-04T04:15:41.973     437.00814775     437.00814340    437.00815209
2020-03-04T04:16:41.973     437.00697484     437.00696714    437.00698252
2020-03-04T04:17:41.973     437.00493663     437.00492362    437.00494960
2020-03-04T04:18:41.973     437.00176888     437.00175061    437.00178712
2020-03-04T04:19:41.973     436.99801426     436.99799620    436.99803235
2020-03-04T04:20:41.973     436.99490054     436.99488787    436.99491325
2020-03-04T04:21:41.973     436.99291244     436.99290495    436.99291995
2020-03-04T04:22:41.973     436.99176663     436.99176237    436.99177090
2020-03-04T04:23:41.973     436.99111359     436.99111115    436.99111603
2020-03-04T04:24:41.973     436.99073769     436.99073628    436.99073910
2020-03-04T04:25:41.973     436.99052338     436.99052259    436.99052416
2020-03-04T04:26:41.973     436.99040910     436.99040871    436.99040948
2020-03-04T04:27:41.973     436.99036093     436.99036082    436.99036105
2020-03-04T04:28:41.973     436.99035936     436.99035927    436.99035944
2020-03-04T04:29:41.973     436.99039262     436.99039238    436.99039286
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T05:47:12.852     437.00928542     437.00928459    437.00928625
2020-03-04T05:48:12.852     437.00906078     437.00905931    437.00906225
2020-03-04T05:49:12.852     437.00867035     437.00866781    437.00867287
2020-03-04T05:50:12.852     437.00799666     437.00799227    437.00800104
2020-03-04T05:51:12.852     437.00682498     437.00681734    437.00683259
2020-03-04T05:52:12.852     437.00482152     437.00480883    437.00483418
2020-03-04T05:53:12.852     437.00175189     437.00173427    437.00176949
2020-03-04T05:54:12.852     436.99812918     436.99811170    436.99814668
2020-03-04T05:55:12.852     436.99509637     436.99508393    436.99510885
2020-03-04T05:56:12.852     436.99313098     436.99312352    436.99313845
2020-03-04T05:57:12.852     436.99198501     436.99198074    436.99198930
2020-03-04T05:58:12.852     436.99132747     436.99132500    436.99132993
2020-03-04T05:59:12.852     436.99094774     436.99094632    436.99094917
2020-03-04T06:00:12.852     436.99073091     436.99073012    436.99073171
2020-03-04T06:01:12.852     436.99061509     436.99061470    436.99061549
2020-03-04T06:02:12.852     436.99056593     436.99056581    436.99056605
2020-03-04T06:03:12.852     436.99056354     436.99056346    436.99056362
2020-03-04T06:04:12.852     436.99059592     436.99059568    436.99059615
