numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T20:13:57.128     437.00645664     437.00645194    437.00646134
2020-03-03T20:14:57.128     437.00535910     437.00535277    437.00536542
2020-03-03T20:15:57.128     437.00391719     437.00390909    437.00392528
2020-03-03T20:16:57.128     437.00213836     437.00212875    437.00214795
2020-03-03T20:17:57.128     437.00013367     437.00012340    437.00014393
2020-03-03T20:18:57.128     436.99811096     436.99810119    436.99812073
2020-03-03T20:19:57.128     436.99628628     436.99627792    436.99629465
2020-03-03T20:20:57.128     436.99478759     436.99478099    436.99479421
2020-03-03T20:21:57.128     436.99363548     436.99363053    436.99364044
2020-03-03T20:22:57.128     436.99278560     436.99278200    436.99278920
2020-03-03T20:23:57.128     436.99217432     436.99217176    436.99217689
2020-03-03T20:24:57.128     436.99174319     436.99174141    436.99174498
2020-03-03T20:25:57.128     436.99144627     436.99144506    436.99144748
2020-03-03T20:26:57.128     436.99124982     436.99124905    436.99125060
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-03T21:46:29.887     437.01015218     437.01015210    437.01015226
2020-03-03T21:47:29.887     437.01010575     437.01010533    437.01010616
2020-03-03T21:48:29.887     437.00996752     437.00996648    437.00996855
2020-03-03T21:49:29.887     437.00964571     437.00964334    437.00964808
2020-03-03T21:50:29.887     437.00888797     437.00888217    437.00889373
2020-03-03T21:51:29.887     437.00691726     437.00690161    437.00693284
2020-03-03T21:52:29.887     437.00194716     437.00191330    437.00198096
2020-03-03T21:53:29.887     436.99537167     436.99534572    436.99539773
2020-03-03T21:54:29.887     436.99196532     436.99195537    436.99197533
2020-03-03T21:55:29.887     436.99069176     436.99068793    436.99069561
2020-03-03T21:56:29.887     436.99017804     436.99017640    436.99017968
2020-03-03T21:57:29.887     436.98995474     436.98995403    436.98995546
2020-03-03T21:58:29.887     436.98986366     436.98986341    436.98986390
2020-03-03T21:59:29.887     436.98984341     436.98984338    436.98984343
2020-03-03T22:00:29.887     436.98986679     436.98986659    436.98986700
2020-03-03T22:01:29.887     436.98992040     436.98992007    436.98992073
2020-03-03T22:02:29.887     436.98999696     436.98999653    436.98999740
2020-03-03T22:03:29.887     436.99009230     436.99009178    436.99009282
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-03T23:23:53.376     437.00769698     437.00769379    437.00770017
2020-03-03T23:24:53.376     437.00691975     437.00691508    437.00692441
2020-03-03T23:25:53.376     437.00579563     437.00578896    437.00580229
2020-03-03T23:26:53.376     437.00422816     437.00421911    437.00423720
2020-03-03T23:27:53.376     437.00219570     437.00218454    437.00220685
2020-03-03T23:28:53.376     436.99985565     436.99984370    436.99986760
2020-03-03T23:29:53.376     436.99754231     436.99753142    436.99755322
2020-03-03T23:30:53.376     436.99557377     436.99556509    436.99558245
2020-03-03T23:31:53.376     436.99407831     436.99407200    436.99408464
2020-03-03T23:32:53.376     436.99301701     436.99301263    436.99302140
2020-03-03T23:33:53.376     436.99228948     436.99228651    436.99229246
2020-03-03T23:34:53.376     436.99180021     436.99179823    436.99180219
2020-03-03T23:35:53.376     436.99147754     436.99147625    436.99147882
2020-03-03T23:36:53.376     436.99127222     436.99127143    436.99127302
2020-03-03T23:37:53.376     436.99115136     436.99115093    436.99115180
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T09:29:36.339     437.00735594     437.00735258    437.00735929
2020-03-04T09:30:36.339     437.00654489     437.00654006    437.00654971
2020-03-04T09:31:36.339     437.00539519     437.00538845    437.00540192
2020-03-04T09:32:36.339     437.00383259     437.00382369    437.00384147
2020-03-04T09:33:36.339     437.00186211     437.00185143    437.00187278
2020-03-04T09:34:36.339     436.99964407     436.99963283    436.99965531
2020-03-04T09:35:36.339     436.99747086     436.99746061    436.99748112
2020-03-04T09:36:36.339     436.99560790     436.99559962    436.99561619
2020-03-04T09:37:36.339     436.99416526     436.99415909    436.99417144
2020-03-04T09:38:36.339     436.99311602     436.99311163    436.99312042
2020-03-04T09:39:36.339     436.99237785     436.99237480    436.99238091
2020-03-04T09:40:36.339     436.99186791     436.99186582    436.99187001
2020-03-04T09:41:36.339     436.99152142     436.99152001    436.99152283
2020-03-04T09:42:36.339     436.99129234     436.99129143    436.99129325
2020-03-04T09:43:36.339     436.99114907     436.99114853    436.99114961
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T11:04:15.631     437.01018143     437.01018140    437.01018145
2020-03-04T11:05:15.631     437.01014859     437.01014826    437.01014892
2020-03-04T11:06:15.631     437.01003319     437.01003230    437.01003408
2020-03-04T11:07:15.631     437.00975282     437.00975073    437.00975490
2020-03-04T11:08:15.631     437.00907591     437.00907068    437.00908112
2020-03-04T11:09:15.631     437.00725039     437.00723554    437.00726516
2020-03-04T11:10:15.631     437.00228763     437.00225237    437.00232281
2020-03-04T11:11:15.631     436.99531376     436.99528645    436.99534120
2020-03-04T11:12:15.631     436.99182373     436.99181390    436.99183362
2020-03-04T11:13:15.631     436.99059055     436.99058692    436.99059419
2020-03-04T11:14:15.631     436.99011043     436.99010892    436.99011194
2020-03-04T11:15:15.631     436.98990789     436.98990726    436.98990853
2020-03-04T11:16:15.631     436.98982969     436.98982949    436.98982988
2020-03-04T11:17:15.631     436.98981780     436.98981775    436.98981786
2020-03-04T11:18:15.631     436.98984693     436.98984670    436.98984715
2020-03-04T11:19:15.631     436.98990467     436.98990432    436.98990502
2020-03-04T11:20:15.631     436.98998439     436.98998395    436.98998484
2020-03-04T11:21:15.631     436.99008225     436.99008172    436.99008278
Access Number: 5            Sta # 0 Nom         Lower           Upper       
2020-03-04T12:41:10.896     437.00680960     437.00680511    437.00681409
2020-03-04T12:42:10.896     437.00575077     437.00574461    437.00575692
2020-03-04T12:43:10.896     437.00433110     437.00432304    437.00433916
2020-03-04T12:44:10.896     437.00253778     437.00252798    437.00254757
2020-03-04T12:45:10.896     437.00046965     437.00045896    437.00048035
2020-03-04T12:46:10.896     436.99834747     436.99833716    436.99835778
2020-03-04T12:47:10.896     436.99642037     436.99641154    436.99642921
2020-03-04T12:48:10.896     436.99484328     436.99483636    436.99485020
2020-03-04T12:49:10.896     436.99364393     436.99363881    436.99364905
2020-03-04T12:50:10.896     436.99277204     436.99276838    436.99277571
2020-03-04T12:51:10.896     436.99215519     436.99215263    436.99215775
2020-03-04T12:52:10.896     436.99172790     436.99172615    436.99172965
2020-03-04T12:53:10.896     436.99143975     436.99143859    436.99144091
2020-03-04T12:54:10.896     436.99125440     436.99125369    436.99125512
