numStations=1
Station 0:rit
numEvents=7
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-04T04:30:53.074     437.00438260     437.00437502    437.00439017
2020-03-04T04:31:53.074     437.00268554     437.00267621    437.00269487
2020-03-04T04:32:53.074     437.00069933     437.00068897    437.00070969
2020-03-04T04:33:53.074     436.99862608     436.99861593    436.99863624
2020-03-04T04:34:53.074     436.99671204     436.99670320    436.99672088
2020-03-04T04:35:53.074     436.99512420     436.99511719    436.99513121
2020-03-04T04:36:53.074     436.99390424     436.99389901    436.99390947
2020-03-04T04:37:53.074     436.99301005     436.99300628    436.99301383
2020-03-04T04:38:53.074     436.99237218     436.99236952    436.99237485
2020-03-04T04:39:53.074     436.99192557     436.99192373    436.99192742
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T06:03:39.476     437.00980166     437.00980104    437.00980228
2020-03-04T06:04:39.476     437.00960912     437.00960772    437.00961051
2020-03-04T06:05:39.476     437.00918556     437.00918247    437.00918863
2020-03-04T06:06:39.476     437.00821243     437.00820507    437.00821975
2020-03-04T06:07:39.476     437.00579562     437.00577719    437.00581397
2020-03-04T06:08:39.476     437.00055787     437.00052592    437.00058981
2020-03-04T06:09:39.476     436.99489421     436.99487301    436.99491549
2020-03-04T06:10:39.476     436.99206554     436.99205694    436.99207418
2020-03-04T06:11:39.476     436.99093072     436.99092717    436.99093428
2020-03-04T06:12:39.476     436.99044393     436.99044234    436.99044553
2020-03-04T06:13:39.476     436.99022273     436.99022201    436.99022345
2020-03-04T06:14:39.476     436.99012812     436.99012786    436.99012839
2020-03-04T06:15:39.476     436.99010325     436.99010325    436.99010326
2020-03-04T06:16:39.476     436.99012196     436.99012178    436.99012214
2020-03-04T06:17:39.476     436.99017098     436.99017067    436.99017129
2020-03-04T06:18:39.476     436.99024301     436.99024260    436.99024342
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T07:39:56.052     437.00981503     437.00981455    437.00981550
2020-03-04T07:40:56.052     437.00966172     437.00966058    437.00966284
2020-03-04T07:41:56.052     437.00931332     437.00931075    437.00931587
2020-03-04T07:42:56.052     437.00849147     437.00848516    437.00849775
2020-03-04T07:43:56.052     437.00633858     437.00632152    437.00635556
2020-03-04T07:44:56.052     437.00111088     437.00107693    437.00114478
2020-03-04T07:45:56.052     436.99495190     436.99492903    436.99497487
2020-03-04T07:46:56.052     436.99199440     436.99198580    436.99200304
2020-03-04T07:47:56.052     436.99088848     436.99088512    436.99089184
2020-03-04T07:48:56.052     436.99043660     436.99043515    436.99043805
2020-03-04T07:49:56.052     436.99023941     436.99023879    436.99024004
2020-03-04T07:50:56.052     436.99016028     436.99016007    436.99016048
2020-03-04T07:51:56.052     436.99014529     436.99014525    436.99014533
2020-03-04T07:52:56.052     436.99017023     436.99017003    436.99017044
2020-03-04T07:53:56.052     436.99022302     436.99022270    436.99022334
2020-03-04T07:54:56.052     436.99029709     436.99029667    436.99029750
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T09:17:17.638     437.00900439     437.00900265    437.00900613
2020-03-04T09:18:17.638     437.00852922     437.00852606    437.00853237
2020-03-04T09:19:17.638     437.00766104     437.00765522    437.00766684
2020-03-04T09:20:17.638     437.00605484     437.00604413    437.00606552
2020-03-04T09:21:17.638     437.00323882     437.00322129    437.00325631
2020-03-04T09:22:17.638     436.99931150     436.99929112    436.99933189
2020-03-04T09:23:17.638     436.99566024     436.99564504    436.99567548
2020-03-04T09:24:17.638     436.99329625     436.99328752    436.99330501
2020-03-04T09:25:17.638     436.99199135     436.99198664    436.99199607
2020-03-04T09:26:17.638     436.99128577     436.99128320    436.99128834
2020-03-04T09:27:17.638     436.99089815     436.99089673    436.99089957
2020-03-04T09:28:17.638     436.99068617     436.99068541    436.99068693
2020-03-04T09:29:17.638     436.99057826     436.99057791    436.99057861
2020-03-04T09:30:17.638     436.99053679     436.99053671    436.99053687
2020-03-04T09:31:17.638     436.99054089     436.99054078    436.99054100
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T10:54:14.730     437.00941584     437.00941477    437.00941689
2020-03-04T10:55:14.730     437.00911216     437.00911006    437.00911424
2020-03-04T10:56:14.730     437.00851049     437.00850630    437.00851468
2020-03-04T10:57:14.730     437.00727380     437.00726501    437.00728255
2020-03-04T10:58:14.730     437.00470101     437.00468330    437.00471866
2020-03-04T10:59:14.730     437.00025353     437.00022838    437.00027867
2020-03-04T11:00:14.730     436.99566516     436.99564642    436.99568394
2020-03-04T11:01:14.730     436.99290696     436.99289751    436.99291644
2020-03-04T11:02:14.730     436.99157243     436.99156792    436.99157695
