numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T21:59:18.799     437.00883733     437.00883613    437.00883853
2020-03-03T22:00:18.799     437.00852659     437.00852463    437.00852855
2020-03-03T22:01:18.799     437.00802497     437.00802182    437.00802811
2020-03-03T22:02:18.799     437.00722437     437.00721936    437.00722936
2020-03-03T22:03:18.799     437.00596199     437.00595419    437.00596977
2020-03-03T22:04:18.799     437.00405217     437.00404079    437.00406353
2020-03-03T22:05:18.799     437.00145561     437.00144132    437.00146989
2020-03-03T22:06:18.799     436.99853689     436.99852259    436.99855120
2020-03-03T22:07:18.799     436.99593370     436.99592230    436.99594512
2020-03-03T22:08:18.799     436.99401375     436.99400591    436.99402160
2020-03-03T22:09:18.799     436.99274031     436.99273526    436.99274537
2020-03-03T22:10:18.799     436.99192875     436.99192556    436.99193195
2020-03-03T22:11:18.799     436.99141653     436.99141452    436.99141855
2020-03-03T22:12:18.799     436.99109560     436.99109435    436.99109685
2020-03-03T22:13:18.799     436.99089973     436.99089899    436.99090047
2020-03-03T22:14:18.799     436.99078877     436.99078838    436.99078916
2020-03-03T22:15:18.799     436.99073801     436.99073788    436.99073814
2020-03-03T22:16:18.799     436.99073183     436.99073177    436.99073189
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-03T23:36:52.529     437.00969035     437.00968992    437.00969078
2020-03-03T23:37:52.529     437.00956017     437.00955926    437.00956107
2020-03-03T23:38:52.529     437.00930765     437.00930595    437.00930934
2020-03-03T23:39:52.529     437.00884061     437.00883748    437.00884373
2020-03-03T23:40:52.529     437.00796898     437.00796307    437.00797487
2020-03-03T23:41:52.529     437.00631242     437.00630122    437.00632359
2020-03-03T23:42:52.529     437.00332001     437.00330117    437.00333881
2020-03-03T23:43:52.529     436.99909319     436.99907139    436.99911500
2020-03-03T23:44:52.529     436.99525723     436.99524163    436.99527287
2020-03-03T23:45:52.529     436.99287841     436.99286982    436.99288703
2020-03-03T23:46:52.529     436.99161074     436.99160623    436.99161526
2020-03-03T23:47:52.529     436.99094160     436.99093919    436.99094401
2020-03-03T23:48:52.529     436.99058151     436.99058021    436.99058281
2020-03-03T23:49:52.529     436.99038994     436.99038927    436.99039061
2020-03-03T23:50:52.529     436.99029777     436.99029749    436.99029805
2020-03-03T23:51:52.529     436.99026913     436.99026911    436.99026915
2020-03-03T23:52:52.529     436.99028429     436.99028413    436.99028446
2020-03-03T23:53:52.529     436.99033175     436.99033144    436.99033205
2020-03-03T23:54:52.529     436.99040445     436.99040403    436.99040487
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T01:16:30.718     437.00514151     437.00513630    437.00514671
2020-03-04T01:17:30.718     437.00398286     437.00397647    437.00398924
2020-03-04T01:18:30.718     437.00259625     437.00258880    437.00260369
2020-03-04T01:19:30.718     437.00103231     437.00102419    437.00104042
2020-03-04T01:20:30.718     436.99939172     436.99938354    436.99939991
2020-03-04T01:21:30.718     436.99780085     436.99779322    436.99780848
2020-03-04T01:22:30.718     436.99636955     436.99636292    436.99637618
2020-03-04T01:23:30.718     436.99516063     436.99515519    436.99516609
2020-03-04T01:24:30.718     436.99418751     436.99418321    436.99419181
2020-03-04T01:25:30.718     436.99343083     436.99342753    436.99343413
2020-03-04T01:26:30.718     436.99285730     436.99285483    436.99285977
2020-03-04T01:27:30.718     436.99243209     436.99243029    436.99243390
2020-03-04T01:28:30.718     436.99212463     436.99212334    436.99212592
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T07:34:01.864     437.00396667     437.00396085    437.00397249
2020-03-04T07:35:01.864     437.00270502     437.00269825    437.00271178
2020-03-04T07:36:01.864     437.00128016     437.00127274    437.00128758
2020-03-04T07:37:01.864     436.99976807     436.99976046    436.99977569
2020-03-04T07:38:01.864     436.99826934     436.99826205    436.99827663
2020-03-04T07:39:01.864     436.99688032     436.99687378    436.99688687
2020-03-04T07:40:01.864     436.99566706     436.99566149    436.99567263
2020-03-04T07:41:01.864     436.99465654     436.99465200    436.99466108
2020-03-04T07:42:01.864     436.99384446     436.99384086    436.99384806
2020-03-04T07:43:01.864     436.99320899     436.99320621    436.99321177
2020-03-04T07:44:01.864     436.99272228     436.99272018    436.99272439
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T09:06:32.753     437.00942608     437.00942532    437.00942683
2020-03-04T09:07:32.753     437.00921866     437.00921729    437.00922003
2020-03-04T09:08:32.753     437.00885216     437.00884977    437.00885454
2020-03-04T09:09:32.753     437.00821672     437.00821258    437.00822085
