numStations=1
Station 0:rit
numEvents=5
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T23:02:50.844     437.00975858     437.00975713    437.00976002
2020-03-03T23:03:50.844     437.00935580     437.00935308    437.00935851
2020-03-03T23:04:50.844     437.00859684     437.00859168    437.00860199
2020-03-03T23:05:50.844     437.00713635     437.00712636    437.00714631
2020-03-03T23:06:50.844     437.00438359     437.00436563    437.00440151
2020-03-03T23:07:50.844     437.00010809     437.00008470    437.00013149
2020-03-03T23:08:50.844     436.99579176     436.99577352    436.99581004
2020-03-03T23:09:50.844     436.99298086     436.99297068    436.99299107
2020-03-03T23:10:50.844     436.99149093     436.99148570    436.99149618
2020-03-03T23:11:50.844     436.99072326     436.99072054    436.99072599
2020-03-03T23:12:50.844     436.99032138     436.99031995    436.99032281
2020-03-03T23:13:50.844     436.99011414     436.99011344    436.99011485
2020-03-03T23:14:50.844     436.99001922     436.99001895    436.99001949
2020-03-03T23:15:50.844     436.98999477     436.98999476    436.98999478
2020-03-03T23:16:50.844     436.99001813     436.99001792    436.99001835
2020-03-03T23:17:50.844     436.99007630     436.99007593    436.99007666
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-04T00:36:59.627     437.00947734     437.00947552    437.00947915
2020-03-04T00:37:59.627     437.00898461     437.00898135    437.00898786
2020-03-04T00:38:59.627     437.00809189     437.00808592    437.00809783
2020-03-04T00:39:59.627     437.00645382     437.00644293    437.00646468
2020-03-04T00:40:59.627     437.00358895     437.00357107    437.00360679
2020-03-04T00:41:59.627     436.99954597     436.99952475    436.99956719
2020-03-04T00:42:59.627     436.99569641     436.99568019    436.99571268
2020-03-04T00:43:59.627     436.99315590     436.99314647    436.99316535
2020-03-04T00:44:59.627     436.99174592     436.99174085    436.99175102
2020-03-04T00:45:59.627     436.99098821     436.99098547    436.99099095
2020-03-04T00:46:59.627     436.99057874     436.99057727    436.99058022
2020-03-04T00:47:59.627     436.99036184     436.99036109    436.99036260
2020-03-04T00:48:59.627     436.99025885     436.99025855    436.99025916
2020-03-04T00:49:59.627     436.99022835     436.99022834    436.99022837
2020-03-04T00:50:59.627     436.99024732     436.99024713    436.99024752
2020-03-04T00:51:59.627     436.99030226     436.99030191    436.99030261
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T12:07:34.714     437.00928709     437.00928606    437.00928812
2020-03-04T12:08:34.714     437.00900865     437.00900682    437.00901047
2020-03-04T12:09:34.714     437.00852138     437.00851820    437.00852455
2020-03-04T12:10:34.714     437.00766874     437.00766315    437.00767431
2020-03-04T12:11:34.714     437.00617215     437.00616241    437.00618186
2020-03-04T12:12:34.714     437.00366661     437.00365118    437.00368202
2020-03-04T12:13:34.714     437.00015015     437.00013130    437.00016899
2020-03-04T12:14:34.714     436.99658149     436.99656563    436.99659737
2020-03-04T12:15:34.714     436.99398245     436.99397231    436.99399262
2020-03-04T12:16:34.714     436.99241580     436.99240996    436.99242166
2020-03-04T12:17:34.714     436.99152120     436.99151787    436.99152454
2020-03-04T12:18:34.714     436.99100913     436.99100722    436.99101105
2020-03-04T12:19:34.714     436.99071505     436.99071396    436.99071614
2020-03-04T12:20:34.714     436.99055132     436.99055074    436.99055190
2020-03-04T12:21:34.714     436.99047055     436.99047031    436.99047080
2020-03-04T12:22:34.714     436.99044606     436.99044605    436.99044607
2020-03-04T12:23:34.714     436.99046213     436.99046196    436.99046229
2020-03-04T12:24:34.714     436.99050911     436.99050881    436.99050941
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T13:41:35.989     437.00956712     437.00956616    437.00956808
2020-03-04T13:42:35.989     437.00930498     437.00930324    437.00930671
2020-03-04T13:43:35.989     437.00883595     437.00883285    437.00883903
2020-03-04T13:44:35.989     437.00799277     437.00798716    437.00799836
2020-03-04T13:45:35.989     437.00645775     437.00644757    437.00646790
2020-03-04T13:46:35.989     437.00377610     437.00375929    437.00379288
2020-03-04T13:47:35.989     436.99991952     436.99989892    436.99994013
2020-03-04T13:48:35.989     436.99609985     436.99608338    436.99611635
2020-03-04T13:49:35.989     436.99348226     436.99347239    436.99349215
2020-03-04T13:50:35.989     436.99199538     436.99198998    436.99200080
2020-03-04T13:51:35.989     436.99118360     436.99118064    436.99118657
2020-03-04T13:52:35.989     436.99073635     436.99073471    436.99073799
2020-03-04T13:53:35.989     436.99049089     436.99049001    436.99049177
2020-03-04T13:54:35.989     436.99036443     436.99036401    436.99036485
2020-03-04T13:55:35.989     436.99031338     436.99031327    436.99031350
2020-03-04T13:56:35.989     436.99031361     436.99031350    436.99031371
2020-03-04T13:57:35.989     436.99035102     436.99035076    436.99035129
2020-03-04T13:58:35.989     436.99041704     436.99041665    436.99041744
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T15:18:16.262     437.00312332     437.00311621    437.00313042
2020-03-04T15:19:16.262     437.00161366     437.00160574    437.00162158
2020-03-04T15:20:16.262     436.99998989     436.99998168    436.99999811
2020-03-04T15:21:16.262     436.99837183     436.99836396    436.99837969
2020-03-04T15:22:16.262     436.99687784     436.99687083    436.99688484
2020-03-04T15:23:16.262     436.99558814     436.99558227    436.99559401
2020-03-04T15:24:16.262     436.99453252     436.99452782    436.99453722
2020-03-04T15:25:16.262     436.99370169     436.99369805    436.99370533
2020-03-04T15:26:16.262     436.99306626     436.99306351    436.99306901
2020-03-04T15:27:16.262     436.99259151     436.99258949    436.99259354
