numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T17:47:52.054     437.00956145     437.00956119    437.00956171
2020-03-03T17:48:52.054     437.00947379     437.00947314    437.00947443
2020-03-03T17:49:52.054     437.00928857     437.00928730    437.00928983
2020-03-03T17:50:52.054     437.00893796     437.00893561    437.00894031
2020-03-03T17:51:52.054     437.00828491     437.00828050    437.00828931
2020-03-03T17:52:52.054     437.00704901     437.00704061    437.00705738
2020-03-03T17:53:52.054     437.00473554     437.00472034    437.00475070
2020-03-03T17:54:52.054     437.00099800     437.00097666    437.00101932
2020-03-03T17:55:52.054     436.99682936     436.99681064    436.99684811
2020-03-03T17:56:52.054     436.99382694     436.99381564    436.99383827
2020-03-03T17:57:52.054     436.99214192     436.99213589    436.99214797
2020-03-03T17:58:52.054     436.99124576     436.99124253    436.99124900
2020-03-03T17:59:52.054     436.99075951     436.99075773    436.99076129
2020-03-03T18:00:52.054     436.99049128     436.99049031    436.99049226
2020-03-03T18:01:52.054     436.99034754     436.99034704    436.99034804
2020-03-03T18:02:52.054     436.99028083     436.99028064    436.99028102
2020-03-03T18:03:52.054     436.99026569     436.99026567    436.99026572
2020-03-03T18:04:52.054     436.99028766     436.99028748    436.99028785
2020-03-03T18:05:52.054     436.99033809     436.99033778    436.99033841
2020-03-03T18:06:52.054     436.99041159     436.99041117    436.99041201
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-03T19:26:05.025     437.00873208     437.00873094    437.00873322
2020-03-03T19:27:05.025     437.00843962     437.00843779    437.00844144
2020-03-03T19:28:05.025     437.00797738     437.00797450    437.00798024
2020-03-03T19:29:05.025     437.00725519     437.00725072    437.00725965
2020-03-03T19:30:05.025     437.00613836     437.00613151    437.00614520
2020-03-03T19:31:05.025     437.00446522     437.00445524    437.00447519
2020-03-03T19:32:05.025     437.00215858     437.00214566    437.00217149
2020-03-03T19:33:05.025     436.99943793     436.99942413    436.99945174
2020-03-03T19:34:05.025     436.99683072     436.99681884    436.99684260
