numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T18:09:40.291     437.01039458     437.01039446    437.01039470
2020-03-03T18:10:40.291     437.01039538     437.01039523    437.01039551
2020-03-03T18:11:40.291     437.01032329     437.01032265    437.01032393
2020-03-03T18:12:40.291     437.01009495     437.01009312    437.01009678
2020-03-03T18:13:40.291     437.00943465     437.00942909    437.00944017
2020-03-03T18:14:40.291     437.00717327     437.00715260    437.00719380
2020-03-03T18:15:40.291     436.99975264     436.99970351    436.99980178
2020-03-03T18:16:40.291     436.99260740     436.99258811    436.99262682
2020-03-03T18:17:40.291     436.99046884     436.99046353    436.99047418
2020-03-03T18:18:40.291     436.98982310     436.98982126    436.98982495
2020-03-03T18:19:40.291     436.98958606     436.98958536    436.98958677
2020-03-03T18:20:40.291     436.98949969     436.98949948    436.98949991
2020-03-03T18:21:40.291     436.98948515     436.98948510    436.98948520
2020-03-03T18:22:40.291     436.98951265     436.98951243    436.98951286
2020-03-03T18:23:40.291     436.98956903     436.98956869    436.98956937
2020-03-03T18:24:40.291     436.98964777     436.98964733    436.98964822
2020-03-03T18:25:40.291     436.98974529     436.98974476    436.98974582
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-03T19:45:18.418     437.00734622     437.00734187    437.00735056
2020-03-03T19:46:18.418     437.00629406     437.00628778    437.00630033
2020-03-03T19:47:18.418     437.00480598     437.00479732    437.00481464
2020-03-03T19:48:18.418     437.00283047     437.00281946    437.00284148
2020-03-03T19:49:18.418     437.00047367     437.00046138    437.00048595
2020-03-03T19:50:18.418     436.99804144     436.99802973    436.99805317
2020-03-03T19:51:18.418     436.99588655     436.99587688    436.99589622
2020-03-03T19:52:18.418     436.99419959     436.99419239    436.99420681
2020-03-03T19:53:18.418     436.99297943     436.99297436    436.99298451
2020-03-03T19:54:18.418     436.99213342     436.99212995    436.99213689
2020-03-03T19:55:18.418     436.99155992     436.99155759    436.99156225
2020-03-03T19:56:18.418     436.99117876     436.99117723    436.99118029
2020-03-03T19:57:18.418     436.99093362     436.99093267    436.99093458
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T03:21:34.814     437.00674545     437.00674151    437.00674939
2020-03-04T03:22:34.814     437.00582119     437.00581583    437.00582655
2020-03-04T03:23:34.814     437.00458608     437.00457906    437.00459310
2020-03-04T03:24:34.814     437.00301472     437.00300607    437.00302337
2020-03-04T03:25:34.814     437.00115924     437.00114947    437.00116900
2020-03-04T03:26:34.814     436.99917450     436.99916461    436.99918439
2020-03-04T03:27:34.814     436.99727321     436.99726424    436.99728218
2020-03-04T03:28:34.814     436.99562866     436.99562125    436.99563608
2020-03-04T03:29:34.814     436.99431427     436.99430853    436.99432002
2020-03-04T03:30:34.814     436.99331752     436.99331325    436.99332179
2020-03-04T03:31:34.814     436.99258533     436.99258223    436.99258844
2020-03-04T03:32:34.814     436.99205838     436.99205617    436.99206059
