numStations=1
Station 0:rit
numEvents=5
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T12:40:40.573     437.00555513     437.00554940    437.00556085
2020-03-03T12:40:50.573     437.00535948     437.00535346    437.00536549
2020-03-03T12:41:00.573     437.00515398     437.00514766    437.00516029
2020-03-03T12:41:10.573     437.00493841     437.00493179    437.00494503
2020-03-03T12:41:20.573     437.00471264     437.00470570    437.00471956
2020-03-03T12:41:30.573     437.00447654     437.00446930    437.00448377
2020-03-03T12:41:40.573     437.00423009     437.00422254    437.00423764
2020-03-03T12:41:50.573     437.00397334     437.00396548    437.00398119
2020-03-03T12:42:00.573     437.00370641     437.00369824    437.00371456
2020-03-03T12:42:10.573     437.00342951     437.00342106    437.00343796
2020-03-03T12:42:20.573     437.00314298     437.00313424    437.00315171
2020-03-03T12:42:30.573     437.00284724     437.00283823    437.00285624
2020-03-03T12:42:40.573     437.00254282     437.00253356    437.00255208
2020-03-03T12:42:50.573     437.00223038     437.00222089    437.00223986
2020-03-03T12:43:00.573     437.00191067     437.00190098    437.00192036
2020-03-03T12:43:10.573     437.00158456     437.00157469    437.00159443
2020-03-03T12:43:20.573     437.00125301     437.00124299    437.00126303
2020-03-03T12:43:30.573     437.00091707     437.00090693    437.00092720
2020-03-03T12:43:40.573     437.00057785     437.00056763    437.00058806
2020-03-03T12:43:50.573     437.00023652     437.00022626    437.00024678
2020-03-03T12:44:00.573     436.99989431     436.99988404    436.99990458
2020-03-03T12:44:10.573     436.99955243     436.99954219    436.99956267
2020-03-03T12:44:20.573     436.99921209     436.99920192    436.99922227
2020-03-03T12:44:30.573     436.99887450     436.99886443    436.99888458
2020-03-03T12:44:40.573     436.99854080     436.99853086    436.99855074
2020-03-03T12:44:50.573     436.99821206     436.99820228    436.99822184
2020-03-03T12:45:00.573     436.99788928     436.99787970    436.99789887
2020-03-03T12:45:10.573     436.99757338     436.99756402    436.99758275
2020-03-03T12:45:20.573     436.99726516     436.99725604    436.99727429
2020-03-03T12:45:30.573     436.99696532     436.99695646    436.99697418
2020-03-03T12:45:40.573     436.99667443     436.99666585    436.99668302
2020-03-03T12:45:50.573     436.99639299     436.99638469    436.99640129
2020-03-03T12:46:00.573     436.99612135     436.99611335    436.99612935
2020-03-03T12:46:10.573     436.99585977     436.99585208    436.99586747
2020-03-03T12:46:20.573     436.99560844     436.99560105    436.99561583
2020-03-03T12:46:30.573     436.99536741     436.99536034    436.99537449
2020-03-03T12:46:40.573     436.99513670     436.99512994    436.99514348
2020-03-03T12:46:50.573     436.99491624     436.99490978    436.99492270
2020-03-03T12:47:00.573     436.99470588     436.99469973    436.99471205
2020-03-03T12:47:10.573     436.99450545     436.99449959    436.99451132
2020-03-03T12:47:20.573     436.99431472     436.99430915    436.99432031
2020-03-03T12:47:30.573     436.99413343     436.99412814    436.99413874
2020-03-03T12:47:40.573     436.99396129     436.99395626    436.99396632
2020-03-03T12:47:50.573     436.99379799     436.99379322    436.99380276
2020-03-03T12:48:00.573     436.99364321     436.99363869    436.99364773
2020-03-03T12:48:10.573     436.99349661     436.99349233    436.99350089
2020-03-03T12:48:20.573     436.99335786     436.99335381    436.99336191
2020-03-03T12:48:30.573     436.99322662     436.99322279    436.99323045
2020-03-03T12:48:40.573     436.99310255     436.99309894    436.99310617
2020-03-03T12:48:50.573     436.99298533     436.99298192    436.99298875
2020-03-03T12:49:00.573     436.99287464     436.99287142    436.99287787
2020-03-03T12:49:10.573     436.99277015     436.99276711    436.99277320
2020-03-03T12:49:20.573     436.99267157     436.99266870    436.99267445
2020-03-03T12:49:30.573     436.99257860     436.99257590    436.99258131
2020-03-03T12:49:40.573     436.99249096     436.99248841    436.99249352
2020-03-03T12:49:50.573     436.99240839     436.99240599    436.99241079
2020-03-03T12:50:00.573     436.99233062     436.99232835    436.99233288
2020-03-03T12:50:10.573     436.99225740     436.99225528    436.99225954
2020-03-03T12:50:20.573     436.99218852     436.99218652    436.99219052
2020-03-03T12:50:30.573     436.99212374     436.99212186    436.99212563
2020-03-03T12:50:40.573     436.99206286     436.99206109    436.99206463
2020-03-03T12:50:50.573     436.99200567     436.99200401    436.99200734
2020-03-03T12:51:00.573     436.99195200     436.99195044    436.99195356
2020-03-03T12:51:10.573     436.99190166     436.99190020    436.99190313
2020-03-03T12:51:20.573     436.99185449     436.99185313    436.99185586
2020-03-03T12:51:30.573     436.99181033     436.99180905    436.99181162
2020-03-03T12:51:40.573     436.99176903     436.99176784    436.99177023
2020-03-03T12:51:50.573     436.99173046     436.99172934    436.99173158
2020-03-03T12:52:00.573     436.99169447     436.99169343    436.99169551
2020-03-03T12:52:10.573     436.99166095     436.99165998    436.99166192
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-03T14:16:54.649     437.00859398     437.00859191    437.00859605
2020-03-03T14:17:04.649     437.00852202     437.00851977    437.00852428
2020-03-03T14:17:14.649     437.00844353     437.00844107    437.00844599
2020-03-03T14:17:24.649     437.00835792     437.00835524    437.00836060
2020-03-03T14:17:34.649     437.00826454     437.00826161    437.00826746
2020-03-03T14:17:44.649     437.00816267     437.00815947    437.00816585
2020-03-03T14:17:54.649     437.00805152     437.00804804    437.00805500
2020-03-03T14:18:04.649     437.00793025     437.00792645    437.00793404
2020-03-03T14:18:14.649     437.00779790     437.00779375    437.00780204
2020-03-03T14:18:24.649     437.00765346     437.00764893    437.00765798
2020-03-03T14:18:34.649     437.00749581     437.00749086    437.00750074
2020-03-03T14:18:44.649     437.00732375     437.00731836    437.00732914
2020-03-03T14:18:54.649     437.00713602     437.00713013    437.00714189
2020-03-03T14:19:04.649     437.00693125     437.00692483    437.00693766
2020-03-03T14:19:14.649     437.00670805     437.00670105    437.00671502
2020-03-03T14:19:24.649     437.00646494     437.00645733    437.00647254
