numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T18:14:57.990     437.00970752     437.00970696    437.00970808
2020-03-03T18:15:57.990     437.00954095     437.00953979    437.00954210
2020-03-03T18:16:57.990     437.00921371     437.00921148    437.00921593
2020-03-03T18:17:57.990     437.00858542     437.00858112    437.00858971
2020-03-03T18:18:57.990     437.00735233     437.00734379    437.00736085
2020-03-03T18:19:57.990     437.00493258     437.00491632    437.00494880
2020-03-03T18:20:57.990     437.00086479     437.00084143    437.00088814
2020-03-03T18:21:57.990     436.99638092     436.99636138    436.99640051
2020-03-03T18:22:57.990     436.99334828     436.99333730    436.99335929
2020-03-03T18:23:57.990     436.99175169     436.99174613    436.99175726
2020-03-03T18:24:57.990     436.99094036     436.99093750    436.99094323
2020-03-03T18:25:57.990     436.99051645     436.99051494    436.99051797
2020-03-03T18:26:57.990     436.99029335     436.99029257    436.99029413
2020-03-03T18:27:57.990     436.99018373     436.99018338    436.99018408
2020-03-03T18:28:57.990     436.99014427     436.99014420    436.99014433
2020-03-03T18:29:57.990     436.99015200     436.99015186    436.99015213
2020-03-03T18:30:57.990     436.99019394     436.99019366    436.99019422
2020-03-03T18:31:57.990     436.99026235     436.99026195    436.99026275
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-03T19:50:52.095     437.00925517     437.00925368    437.00925664
2020-03-03T19:51:52.095     437.00886471     437.00886220    437.00886722
2020-03-03T19:52:52.095     437.00820641     437.00820218    437.00821063
2020-03-03T19:53:52.095     437.00709821     437.00709110    437.00710529
2020-03-03T19:54:52.095     437.00526574     437.00525427    437.00527719
2020-03-03T19:55:52.095     437.00248554     437.00246940    437.00250166
2020-03-03T19:56:52.095     436.99904985     436.99903252    436.99906720
2020-03-03T19:57:52.095     436.99588744     436.99587373    436.99590117
2020-03-03T19:58:52.095     436.99363710     436.99362822    436.99364600
2020-03-03T19:59:52.095     436.99224076     436.99223543    436.99224610
2020-03-03T20:00:52.095     436.99141014     436.99140699    436.99141330
2020-03-03T20:01:52.095     436.99091870     436.99091683    436.99092056
2020-03-03T20:02:52.095     436.99063086     436.99062979    436.99063194
2020-03-03T20:03:52.095     436.99047024     436.99046967    436.99047081
2020-03-03T20:04:52.095     436.99039341     436.99039319    436.99039363
2020-03-03T20:05:52.095     436.99037492     436.99037489    436.99037494
2020-03-03T20:06:52.095     436.99039927     436.99039906    436.99039948
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T03:37:15.384     437.00282802     437.00282086    437.00283517
2020-03-04T03:38:15.384     437.00131533     437.00130742    437.00132322
2020-03-04T03:39:15.384     436.99970414     436.99969603    436.99971225
2020-03-04T03:40:15.384     436.99811208     436.99810437    436.99811980
2020-03-04T03:41:15.384     436.99665022     436.99664338    436.99665706
2020-03-04T03:42:15.384     436.99539073     436.99538500    436.99539646
2020-03-04T03:43:15.384     436.99435838     436.99435378    436.99436298
2020-03-04T03:44:15.384     436.99354251     436.99353893    436.99354609
2020-03-04T03:45:15.384     436.99291466     436.99291194    436.99291739
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T05:07:18.248     437.00960617     437.00960533    437.00960701
2020-03-04T05:08:18.248     437.00936978     437.00936819    437.00937136
2020-03-04T05:09:18.248     437.00893657     437.00893369    437.00893944
2020-03-04T05:10:18.248     437.00814762     437.00814235    437.00815288
2020-03-04T05:11:18.248     437.00669556     437.00668587    437.00670523
2020-03-04T05:12:18.248     437.00411189     437.00409548    437.00412827
2020-03-04T05:13:18.248     437.00027117     437.00025023    437.00029210
2020-03-04T05:14:18.248     436.99632177     436.99630448    436.99633909
2020-03-04T05:15:18.248     436.99355725     436.99354679    436.99356773
2020-03-04T05:16:18.248     436.99198108     436.99197536    436.99198682
2020-03-04T05:17:18.248     436.99112228     436.99111915    436.99112542
2020-03-04T05:18:18.248     436.99064910     436.99064737    436.99065084
2020-03-04T05:19:18.248     436.99038780     436.99038686    436.99038875
2020-03-04T05:20:18.248     436.99025062     436.99025015    436.99025108
2020-03-04T05:21:18.248     436.99019168     436.99019153    436.99019182
2020-03-04T05:22:18.248     436.99018576     436.99018568    436.99018583
2020-03-04T05:23:18.248     436.99021823     436.99021799    436.99021847
